stock_id,added_at,note
2449,2026-05-14T01:10:30+00:00,
2344,2026-05-14T00:20:26+00:00,
2337,2026-05-14T00:20:15+00:00,
4971,2026-05-13T00:14:05+00:00,
2303,2026-05-12T01:58:35+00:00,
2379,2026-05-12T01:43:09+00:00,
3034,2026-05-12T00:03:09+00:00,
7810,2026-05-11T23:58:45+00:00,
4442,2026-05-11T00:30:46+00:00,
2484,2026-05-06T02:35:07+00:00,
3711,2026-05-05T03:29:31+00:00,
2454,2026-04-30T22:29:17+00:00,
2317,2026-04-30T22:29:17+00:00,
2330,2026-04-30T22:29:17+00:00,
3680,2026-04-30T22:29:17+00:00,
2308,2026-04-30T08:23:15+00:00,
