stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
00998A,2026-04-15,15.96,16.03,15.96,16.03,43428070,694617497.0,5252,0.34
00998A,2026-04-16,16.03,16.2,16.03,16.06,17318054,278730068.0,4835,0.03
00998A,2026-04-17,16.06,16.06,15.93,15.94,12870199,205379496.0,4502,-0.12
00998A,2026-04-20,16.05,16.17,16.05,16.11,9142855,147284516.0,2477,0.17
00998A,2026-04-21,16.21,16.58,16.11,16.13,5783536,93376498.0,2173,0.02
00998A,2026-04-22,16.08,16.08,15.99,15.99,10019465,160511049.0,3575,-0.14
00998A,2026-04-23,15.97,15.97,15.74,15.77,9725879,153423126.0,3623,-0.22
00998A,2026-04-24,15.72,15.72,15.49,15.49,9232721,143717395.0,4404,-0.28
00998A,2026-04-27,15.36,15.49,15.36,15.38,6691498,102996893.0,2494,-0.11
00998A,2026-04-28,15.36,15.59,15.36,15.56,3211804,49916263.0,1210,0.18
00998A,2026-04-29,15.51,15.63,15.51,15.61,3414740,53300620.0,1147,0.05
00998A,2026-04-30,15.5,15.5,15.36,15.42,5708620,88083763.0,2614,-0.19
02001S,2025-11-04,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-05,9.03,9.03,9.03,9.03,3000,27090.0,1,0.0
02001S,2025-11-06,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-07,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-10,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-11,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-12,9.16,9.16,9.16,9.16,11000,100760.0,1,0.0
02001S,2025-11-13,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-14,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-17,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-18,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-19,8.82,8.82,8.79,8.79,32000,281760.0,2,0.0
02001S,2025-11-20,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-21,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-24,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-25,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-26,8.96,8.96,8.96,8.96,3000,26880.0,1,0.0
02001S,2025-11-27,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-11-28,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-12-01,0.0,0.0,0.0,0.0,0,0.0,0,0.0
02001S,2025-12-02,0.0,0.0,0.0,0.0,0,0.0,0,0.0
3036A,2025-11-04,51.0,51.1,51.0,51.0,184310,9412921.0,54,0.0
