stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1104,quarterly,2025-Q2,,,0.57,1.7857142857142672,,2025-06-30
1104,quarterly,2025-Q3,,,0.82,18.84057971014493,,2025-09-30
1104,quarterly,2025-Q4,,,0.76,38.18181818181817,7.247706422018349,2025-12-31
1104,quarterly,2026-Q1,,,0.41,-2.380952380952383,7.02247191011236,2026-03-31
1108,quarterly,2021-Q2,,,0.2,,,2021-06-30
1108,quarterly,2021-Q3,,,0.09,,,2021-09-30
1108,quarterly,2021-Q4,,,0.23,,,2021-12-31
1108,quarterly,2022-Q1,,,0.14,,,2022-03-31
1108,quarterly,2022-Q2,,,0.29,44.999999999999986,,2022-06-30
1108,quarterly,2022-Q3,,,0.33,266.6666666666667,,2022-09-30
1108,quarterly,2022-Q4,,,0.69,199.99999999999997,,2022-12-31
1108,quarterly,2023-Q1,,,0.31,121.4285714285714,,2023-03-31
1108,quarterly,2023-Q2,,,0.37,27.58620689655173,,2023-06-30
1108,quarterly,2023-Q3,,,0.47,42.42424242424241,,2023-09-30
1108,quarterly,2023-Q4,,,0.14,-79.71014492753623,,2023-12-31
1108,quarterly,2024-Q1,,,0.3,-3.2258064516129057,,2024-03-31
1108,quarterly,2024-Q2,,,0.33,-10.810810810810805,,2024-06-30
1108,quarterly,2024-Q3,,,0.27,-42.553191489361694,,2024-09-30
1108,quarterly,2024-Q4,,,0.32,128.57142857142856,,2024-12-31
1108,quarterly,2025-Q1,,,0.32,6.666666666666673,,2025-03-31
1108,quarterly,2025-Q2,,,1.39,321.21212121212113,,2025-06-30
1108,quarterly,2025-Q3,,,0.3,11.1111111111111,,2025-09-30
1108,quarterly,2025-Q4,,,0.16,-50.0,15.37313432835821,2025-12-31
1108,quarterly,2026-Q1,,,0.17,-46.875,15.04424778761062,2026-03-31
1109,quarterly,2021-Q2,,,0.47,,,2021-06-30
1109,quarterly,2021-Q3,,,0.31,,,2021-09-30
1109,quarterly,2021-Q4,,,0.91,,,2021-12-31
1109,quarterly,2022-Q1,,,0.26,,,2022-03-31
1109,quarterly,2022-Q2,,,-0.06,-112.76595744680853,,2022-06-30
1109,quarterly,2022-Q3,,,0.63,103.2258064516129,,2022-09-30
1109,quarterly,2022-Q4,,,0.34,-62.637362637362635,,2022-12-31
1109,quarterly,2023-Q1,,,0.42,61.53846153846153,,2023-03-31
1109,quarterly,2023-Q2,,,0.6,1099.9999999999998,,2023-06-30
1109,quarterly,2023-Q3,,,0.34,-46.03174603174603,,2023-09-30
1109,quarterly,2023-Q4,,,0.65,91.17647058823529,,2023-12-31
1109,quarterly,2024-Q1,,,0.35,-16.666666666666668,,2024-03-31
1109,quarterly,2024-Q2,,,0.55,-8.333333333333323,,2024-06-30
1109,quarterly,2024-Q3,,,0.18,-47.05882352941177,,2024-09-30
1109,quarterly,2024-Q4,,,0.3,-53.846153846153854,,2024-12-31
1109,quarterly,2025-Q1,,,0.25,-28.571428571428566,,2025-03-31
1109,quarterly,2025-Q2,,,0.24,-56.363636363636374,,2025-06-30
1109,quarterly,2025-Q3,,,0.31,72.22222222222223,,2025-09-30
1109,quarterly,2025-Q4,,,0.23,-23.33333333333333,4.175084175084175,2025-12-31
1109,quarterly,2026-Q1,,,0.01,-96.0,3.1926406926406923,2026-03-31
1110,quarterly,2021-Q2,,,0.05,,,2021-06-30
1110,quarterly,2021-Q3,,,0.14,,,2021-09-30
1110,quarterly,2021-Q4,,,0.04,,,2021-12-31
1110,quarterly,2022-Q1,,,0.05,,,2022-03-31
1110,quarterly,2022-Q2,,,-0.1,-300.00000000000006,,2022-06-30
1110,quarterly,2022-Q3,,,0.12,-14.285714285714295,,2022-09-30
1110,quarterly,2022-Q4,,,0.19,375.0,,2022-12-31
1110,quarterly,2023-Q1,,,0.06,19.99999999999999,,2023-03-31
1110,quarterly,2023-Q2,,,0.12,219.99999999999997,,2023-06-30
1110,quarterly,2023-Q3,,,0.1,-16.66666666666666,,2023-09-30
1110,quarterly,2023-Q4,,,-0.02,-110.52631578947367,,2023-12-31
1110,quarterly,2024-Q1,,,0.05,-16.66666666666666,,2024-03-31
1110,quarterly,2024-Q2,,,0.1,-16.66666666666666,,2024-06-30
1110,quarterly,2024-Q3,,,0.35,249.99999999999994,,2024-09-30
1110,quarterly,2024-Q4,,,0.11,650.0,,2024-12-31
1110,quarterly,2025-Q1,,,0.08,60.0,,2025-03-31
1110,quarterly,2025-Q2,,,-0.01,-109.99999999999999,,2025-06-30
1110,quarterly,2025-Q3,,,0.21,-40.0,,2025-09-30
1110,quarterly,2025-Q4,,,0.07,-36.36363636363636,2.175,2025-12-31
1110,quarterly,2026-Q1,,,0.05,-37.5,1.9152771518702114,2026-03-31
1201,quarterly,2021-Q2,,,0.2,,,2021-06-30
1201,quarterly,2021-Q3,,,0.4,,,2021-09-30
1201,quarterly,2021-Q4,,,0.24,,,2021-12-31
1201,quarterly,2022-Q1,,,0.19,,,2022-03-31
1201,quarterly,2022-Q2,,,0.18,-10.000000000000009,,2022-06-30
1201,quarterly,2022-Q3,,,0.28,-30.0,,2022-09-30
1201,quarterly,2022-Q4,,,-0.18,-175.0,,2022-12-31
1201,quarterly,2023-Q1,,,0.25,31.57894736842105,,2023-03-31
1201,quarterly,2023-Q2,,,0.07,-61.11111111111111,,2023-06-30
1201,quarterly,2023-Q3,,,0.13,-53.57142857142857,,2023-09-30
1201,quarterly,2023-Q4,,,0.08,144.44444444444446,,2023-12-31
1201,quarterly,2024-Q1,,,0.26,4.0000000000000036,,2024-03-31
1201,quarterly,2024-Q2,,,0.2,185.7142857142857,,2024-06-30
1201,quarterly,2024-Q3,,,0.28,115.3846153846154,,2024-09-30
1201,quarterly,2024-Q4,,,0.13,62.5,,2024-12-31
1201,quarterly,2025-Q1,,,0.22,-15.384615384615389,,2025-03-31
1201,quarterly,2025-Q2,,,0.05,-75.00000000000001,,2025-06-30
1201,quarterly,2025-Q3,,,0.16,-42.85714285714286,,2025-09-30
1201,quarterly,2025-Q4,,,-0.03,-123.07692307692308,2.6333113890717583,2025-12-31
1201,quarterly,2026-Q1,,,0.2,-9.090909090909086,2.46991766941102,2026-03-31
1203,quarterly,2021-Q2,,,0.53,,,2021-06-30
1203,quarterly,2021-Q3,,,0.44,,,2021-09-30
1203,quarterly,2021-Q4,,,0.36,,,2021-12-31
1203,quarterly,2022-Q1,,,0.59,,,2022-03-31
1203,quarterly,2022-Q2,,,0.17,-67.9245283018868,,2022-06-30
1203,quarterly,2022-Q3,,,1.5,240.9090909090909,,2022-09-30
1203,quarterly,2022-Q4,,,0.37,2.7777777777777803,,2022-12-31
1203,quarterly,2023-Q1,,,0.33,-44.06779661016949,,2023-03-31
1203,quarterly,2023-Q2,,,0.38,123.52941176470587,,2023-06-30
1203,quarterly,2023-Q3,,,0.64,-57.333333333333336,,2023-09-30
1203,quarterly,2023-Q4,,,0.45,21.621621621621625,,2023-12-31
1203,quarterly,2024-Q1,,,0.64,93.93939393939394,,2024-03-31
1203,quarterly,2024-Q2,,,0.5,31.57894736842105,,2024-06-30
1203,quarterly,2024-Q3,,,0.44,-31.25,,2024-09-30
1203,quarterly,2024-Q4,,,0.78,73.33333333333334,,2024-12-31
1203,quarterly,2025-Q1,,,0.58,-9.375000000000009,,2025-03-31
1203,quarterly,2025-Q2,,,0.06,-88.0,,2025-06-30
