stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
2603,2026-02-02,-2598305,-149800,-172085,-2920190
2603,2026-02-03,464833,-235341,5486,234978
2603,2026-02-04,1699963,-342800,-61751,1295412
2603,2026-02-05,1810495,-517072,-164858,1128565
2603,2026-02-06,520047,48702,-12060,556689
2603,2026-02-09,587362,-270100,-232418,84844
2603,2026-02-10,632017,-1183067,-205017,-756067
2603,2026-02-11,2404366,-1583000,-595254,226112
2603,2026-02-23,11198055,-6058239,-23382,5116434
2603,2026-02-24,4793231,-1661567,-489674,2641990
2603,2026-02-25,10164013,-2478688,103905,7789230
2603,2026-02-26,13360551,-3976075,-149779,9234697
2603,2026-03-02,12883441,-202246,154596,12835791
2603,2026-03-03,1369832,-62049,1365886,2673669
2603,2026-03-04,695362,3543207,-570148,3668421
2603,2026-03-05,5105371,242552,-299260,5048663
2603,2026-03-06,1925841,189900,51863,2167604
2603,2026-03-09,-5059233,2185793,156474,-2716966
2603,2026-03-10,254076,-1814759,20914,-1539769
2603,2026-03-11,10695278,-41137,229724,10883865
2603,2026-03-12,2264648,-28585,-116245,2119818
2603,2026-03-13,-3622709,55205,-15241,-3582745
2603,2026-03-16,24847733,-32294,197807,25013246
2603,2026-03-17,-2455978,1532133,-44052,-967897
2603,2026-03-18,2473535,115677,713489,3302701
2603,2026-03-19,5441192,-392000,285697,5334889
2603,2026-03-20,-3168785,772990,-122644,-2518439
2603,2026-03-23,-4119674,2819968,-30535,-1330241
2603,2026-03-24,-1076291,481000,-281939,-877230
2603,2026-03-25,-141208,-216900,212417,-145691
2603,2026-03-26,-349134,139000,196280,-13854
2603,2026-03-27,-2476964,482000,341670,-1653294
2603,2026-03-30,-853621,70244,878573,95196
2603,2026-03-31,-3692884,659500,782518,-2250866
2603,2026-04-01,1668592,1000544,263186,2932322
2603,2026-04-02,-627476,-14000,347240,-294236
2603,2026-04-07,401043,-57415,236074,579702
2603,2026-04-08,-5291162,-258611,196670,-5353103
2603,2026-04-09,1823917,-574450,96723,1346190
2603,2026-04-10,574099,-171725,96524,498898
2603,2026-04-13,-2822269,-330392,-33377,-3186038
2603,2026-04-14,3164286,-579346,-59429,2525511
2603,2026-04-15,2916820,-1238170,-528164,1150486
2603,2026-04-16,-5460588,-1179091,-7701,-6647380
2603,2026-04-17,-5211346,-1173135,-276641,-6661122
2603,2026-04-20,-1169931,778158,16622,-375151
2603,2026-04-21,3075483,897052,101860,4074395
2603,2026-04-22,-651726,885887,-277888,-43727
2603,2026-04-23,-2516139,936909,-13679,-1592909
2603,2026-04-24,-265040,148760,-153056,-269336
2603,2026-04-27,671858,-49560,-514267,108031
2603,2026-04-28,2551661,-1064306,-382344,1105011
2603,2026-04-29,2052714,-530000,-89998,1432716
2603,2026-04-30,1614365,-89413,27300,1552252
2890,2026-02-02,-1480183,751702,-88874,-817355
2890,2026-02-03,4377981,169524,4615,4552120
2890,2026-02-04,9569485,-217000,93278,9445763
2890,2026-02-05,5853259,631411,-660437,5824233
2890,2026-02-06,2790407,1068000,-217091,3641316
2890,2026-02-09,14233941,-877000,-1153430,12203511
2890,2026-02-10,3799235,194411,-1269835,2723811
2890,2026-02-11,19285671,-73000,-2067000,17145671
2890,2026-02-23,18930543,107822,-1482859,17555506
2890,2026-02-24,8271028,382113,-1677494,6975647
2890,2026-02-25,7351415,4549822,-1812222,10089015
2890,2026-02-26,-1352420,10904923,-178851,9373652
2890,2026-03-02,-7941792,3754238,-491793,-4679347
2890,2026-03-03,6040591,1543000,81559,7665150
2890,2026-03-04,-7204767,1754000,644429,-4806338
2890,2026-03-05,-3360626,728000,118384,-2514242
2890,2026-03-06,-32139,768000,784627,1520488
2890,2026-03-09,-4281394,3560354,2697031,1975991
2890,2026-03-10,-4757856,915643,-224785,-4066998
2890,2026-03-11,4999168,-256479,-733574,4009115
2890,2026-03-12,2766630,-291479,-117178,2357973
2890,2026-03-13,1134991,387000,-356360,1165631
2890,2026-03-16,-2115605,-722916,-246875,-3085396
2890,2026-03-17,2043129,-867000,596229,1772358
2890,2026-03-18,3859575,-334834,-720207,2804534
2890,2026-03-19,-10100353,-196000,-92051,-10388404
2890,2026-03-20,-1140783,12002021,551897,11413135
2890,2026-03-23,-18054778,2324099,1880137,-13850542
2890,2026-03-24,179245,362000,516673,1057918
2890,2026-03-25,6959258,-908871,659924,6710311
2890,2026-03-26,-921937,19000,-28529,-931466
2890,2026-03-27,1520270,95000,1318863,2934133
2890,2026-03-30,-12352996,638851,2612293,-9101852
2890,2026-03-31,-3634300,-54000,5457100,1768800
2890,2026-04-01,6009582,-195148,-446689,5367745
2890,2026-04-02,1505274,226809,2132938,3865021
2890,2026-04-07,9053631,870900,810390,10734921
2890,2026-04-08,9775343,-619009,-1238,9155096
2890,2026-04-09,8128433,-1507951,-271906,6348576
2890,2026-04-10,3685355,-1789762,-391213,1504380
2890,2026-04-13,6594562,-2511726,-427169,3655667
2890,2026-04-14,13676723,-2322065,-380576,10974082
2890,2026-04-15,8159746,-1867436,-1402956,4889354
2890,2026-04-16,8955479,-4237886,-315256,4402337
2890,2026-04-17,44447,-4601703,-489357,-5046613
2890,2026-04-20,4504653,-9250249,-4748,-4750344
2890,2026-04-21,4069819,-11189363,35015,-7084529
2890,2026-04-22,10472762,-12424482,-146191,-2097911
2890,2026-04-23,15378729,-9743889,790799,6425639
2890,2026-04-24,15450629,-10403601,11185,5058213
2890,2026-04-27,5401189,-418291,-2709555,2273343
2890,2026-04-28,1436710,-347399,-2367515,-1278204
2890,2026-04-29,-1344324,-965000,-206737,-2516061
2890,2026-04-30,-17768767,-710338,-44734,-18523839
