stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
2885,2026-02-02,-10328872,515447,245687,-9567738
2885,2026-02-03,-7065806,-79699,-1283069,-8428574
2885,2026-02-04,-1899777,41800,429243,-1428734
2885,2026-02-05,-80746,907372,-445304,381322
2885,2026-02-06,-2721095,699000,994,-2021101
2885,2026-02-09,-1759816,-420000,-482837,-2662653
2885,2026-02-10,-9636312,1600372,-1634701,-9670641
2885,2026-02-11,-2270868,-415000,-1869947,-4555815
2885,2026-02-23,-2708980,-34256,-2006197,-4749433
2885,2026-02-24,-477190,606519,-1182785,-1053456
2885,2026-02-25,-3372263,191744,-1082836,-4263355
2885,2026-02-26,-9634811,8428734,29332,-1176745
2885,2026-03-02,-15623085,3001752,-1366974,-13988307
2885,2026-03-03,994429,825000,73373,1892802
2885,2026-03-04,-6914476,1495000,1223917,-4195559
2885,2026-03-05,-3767399,-247000,410041,-3604358
2885,2026-03-06,1674885,723000,700357,3098242
2885,2026-03-09,-8110718,2316416,3117001,-2677301
2885,2026-03-10,-7025250,-508583,437014,-7096819
2885,2026-03-11,51555,-195528,16372,-127601
2885,2026-03-12,-4140071,400472,-31338,-3770937
2885,2026-03-13,-7904112,-383000,-297679,-8584791
2885,2026-03-16,-338523,-1280929,-95952,-1715404
2885,2026-03-17,-1303508,-5017910,512407,-5809011
2885,2026-03-18,-2845144,-175109,137736,-2882517
2885,2026-03-19,-7153845,20000,97032,-7036813
2885,2026-03-20,886557,-1962715,234085,-842073
2885,2026-03-23,-2143969,329529,2196191,381751
2885,2026-03-24,9312844,-1000,667357,9979201
2885,2026-03-25,612636,4924000,340157,5876793
2885,2026-03-26,5895968,-7000,45697,5934665
2885,2026-03-27,-6884322,204000,1123220,-5557102
2885,2026-03-30,-8537371,479451,2403306,-5654614
2885,2026-03-31,1158650,2428500,4308889,7896039
2885,2026-04-01,5907656,3740451,381748,10029855
2885,2026-04-02,-9930139,1720366,2322498,-5887275
2885,2026-04-07,62265,3054552,1447356,4564173
2885,2026-04-08,1819095,3016403,22229,4857727
2885,2026-04-09,2949340,3262173,-81791,6129722
2885,2026-04-10,1380068,-828711,134946,686303
2885,2026-04-13,757659,-3307623,-327613,-2877577
2885,2026-04-14,8350032,-4113976,-112627,4123429
2885,2026-04-15,13033042,-7749637,341217,5624622
2885,2026-04-16,7139761,-8253474,-359612,-1473325
2885,2026-04-17,2625647,-2488648,-192718,-55719
2885,2026-04-20,-138051,5061962,441573,5365484
2885,2026-04-21,-5207185,4627141,32672,-547372
2885,2026-04-22,-5745482,2789756,287976,-2667750
2885,2026-04-23,-4861489,3175292,829212,-856985
2885,2026-04-24,-9074130,3145755,-23477,-5951852
2885,2026-04-27,362493,299504,-1535584,-873587
2885,2026-04-28,7642030,-2257441,-847246,4537343
2885,2026-04-29,-6804639,-2405000,-391584,-9601223
2885,2026-04-30,-13094521,-1469400,47728,-14516193
