stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
00985D,2026-03-30,10.01,10.05,10.01,10.05,29307439,293832323.0,1286,0.05
00985D,2026-03-31,10.06,10.16,10.06,10.16,16356099,165349769.0,582,0.11
00985D,2026-04-01,10.17,10.17,10.11,10.14,4299239,43557346.0,336,-0.02
00985D,2026-04-02,10.14,10.16,10.11,10.13,2732293,27693043.0,216,-0.01
00985D,2026-04-07,10.18,10.23,10.17,10.19,3644967,37128305.0,162,0.06
00985D,2026-04-08,10.23,10.23,10.19,10.21,1918667,19572258.0,155,0.02
00985D,2026-04-09,10.21,10.23,10.18,10.21,5721210,58470612.0,649,0.0
00985D,2026-04-10,10.2,10.22,10.2,10.22,7159222,73117520.0,445,0.01
00985D,2026-04-13,10.15,10.2,10.15,10.18,5767783,58749773.0,421,-0.04
00985D,2026-04-14,10.19,10.22,10.17,10.2,1092402,11149391.0,138,0.02
00985D,2026-04-15,10.23,10.23,10.21,10.22,1707271,17448184.0,106,0.02
00985D,2026-04-16,10.22,10.22,10.18,10.2,782012,7972509.0,134,-0.02
00985D,2026-04-17,10.15,10.15,10.13,10.14,680277,6899450.0,196,-0.06
00985D,2026-04-20,10.14,10.18,10.14,10.16,2388213,24269682.0,137,0.02
00985D,2026-04-21,10.16,10.17,10.14,10.17,360835,3664807.0,93,0.01
00985D,2026-04-22,10.17,10.17,10.13,10.14,466112,4728721.0,134,-0.03
00985D,2026-04-23,10.14,10.15,10.13,10.14,612957,6215126.0,91,0.0
00985D,2026-04-24,10.15,10.17,10.13,10.14,311551,3162636.0,80,0.0
00985D,2026-04-27,10.13,10.13,10.1,10.11,946817,9576073.0,139,-0.03
00985D,2026-04-28,10.1,10.13,10.1,10.11,853199,8628731.0,84,0.0
00985D,2026-04-29,10.12,10.15,10.12,10.14,1620968,16434787.0,72,0.03
00985D,2026-04-30,10.1,10.11,10.09,10.11,457312,4619778.0,84,-0.03
00996A,2026-03-25,10.03,10.42,10.03,10.42,42383610,431572874.0,6025,0.6
00996A,2026-03-26,10.5,11.01,10.45,10.45,62567734,665756024.0,12310,0.03
00996A,2026-03-27,9.97,10.1,9.88,10.08,81325544,811302648.0,14910,-0.37
00996A,2026-03-30,9.9,9.93,9.78,9.9,51405820,507337470.0,11241,-0.18
00996A,2026-03-31,9.82,9.87,9.53,9.55,50699190,490303153.0,13294,-0.35
00996A,2026-04-01,9.98,9.99,9.87,9.91,18820929,186824241.0,3406,0.36
00996A,2026-04-02,9.97,10.06,9.7,9.72,25342806,249509961.0,5129,-0.19
00996A,2026-04-07,9.9,9.97,9.83,9.87,17736783,175815588.0,2338,0.15
00996A,2026-04-08,10.17,10.45,10.1,10.44,41781431,433021453.0,4513,0.57
00996A,2026-04-09,10.49,10.65,10.49,10.57,22338062,236276309.0,3043,0.13
00996A,2026-04-10,10.87,10.88,10.66,10.8,15252936,164169674.0,2387,0.23
00996A,2026-04-13,10.79,10.84,10.7,10.79,13120712,141494575.0,2077,-0.01
00996A,2026-04-14,11.06,11.1,10.9,10.98,11099502,122059745.0,2200,0.19
00996A,2026-04-15,11.12,11.25,11.05,11.08,13267425,148015566.0,2580,0.1
00996A,2026-04-16,11.26,11.41,11.2,11.41,13683392,154652521.0,2246,0.33
00996A,2026-04-17,11.42,11.74,11.42,11.73,18626671,217289972.0,2636,0.32
00996A,2026-04-20,11.96,12.82,11.9,12.2,33368019,405567080.0,5019,0.47
00996A,2026-04-21,12.55,12.56,12.18,12.34,24099675,296953622.0,4005,0.14
00996A,2026-04-22,12.46,12.73,12.46,12.69,27159514,343042250.0,4882,0.35
00996A,2026-04-23,12.98,13.04,12.05,12.27,47374545,591997384.0,9451,-0.42
00996A,2026-04-24,12.59,12.86,12.42,12.76,26855759,340658893.0,3712,0.49
00996A,2026-04-27,13.1,13.1,12.5,12.71,26251130,333349336.0,5035,-0.05
00996A,2026-04-28,12.7,12.88,12.65,12.77,15920377,203278857.0,2062,0.06
00996A,2026-04-29,12.71,12.81,12.56,12.76,15275814,194374280.0,3737,-0.01
00996A,2026-04-30,12.88,13.23,12.88,13.22,28258406,370176076.0,4282,0.46
02001L,2025-11-04,53.5,53.5,50.25,50.25,92000,4762200.0,74,-2.9
02001L,2025-11-05,48.85,49.85,47.26,49.72,80000,3850900.0,57,-0.53
02001L,2025-11-06,50.0,51.0,50.0,50.75,89000,4511750.0,29,1.03
02001L,2025-11-07,50.0,50.0,48.75,48.93,30000,1473940.0,28,-1.82
02001L,2025-11-10,48.35,50.0,48.35,49.71,28000,1391320.0,23,0.78
02001L,2025-11-11,50.2,51.0,49.89,49.89,27000,1364140.0,20,0.18
02001L,2025-11-12,49.14,49.64,48.74,49.39,20000,983540.0,16,-0.5
02001L,2025-11-13,49.99,50.2,49.3,50.05,36000,1795860.0,17,0.66
02001L,2025-11-14,49.95,49.95,47.05,47.14,82000,3916880.0,61,-2.91
02001L,2025-11-17,47.64,47.64,45.96,45.96,87000,4043430.0,40,-1.18
02001L,2025-11-18,45.0,46.0,43.79,43.93,134000,6007560.0,39,-2.03
02001L,2025-11-19,43.83,43.84,42.85,42.93,24000,1043220.0,22,-1.0
02001L,2025-11-20,45.0,46.97,45.0,46.9,242000,11287400.0,56,3.97
02001L,2025-11-21,43.68,44.18,42.83,43.18,80000,3486400.0,55,-3.72
02001L,2025-11-24,43.92,43.94,43.26,43.26,67000,2920510.0,18,0.08
02001L,2025-11-25,44.59,45.0,43.86,44.16,69000,3080300.0,28,0.9
02001L,2025-11-26,44.84,45.97,44.75,45.78,34000,1548010.0,29,1.62
02001L,2025-11-27,46.4,47.59,46.4,47.33,184000,8691000.0,43,1.55
02001L,2025-11-28,46.8,47.23,45.9,47.0,206000,9614340.0,47,-0.33
02001L,2025-12-01,46.17,47.42,46.17,46.59,53000,2473950.0,19,-0.41
02001L,2025-12-02,47.2,47.86,47.15,47.29,46000,2180130.0,18,0.7
02001L,2025-12-03,48.25,48.45,47.98,48.44,138000,6674810.0,25,1.15
02001L,2025-12-04,48.46,48.8,48.31,48.6,59000,2870450.0,13,0.16
02001L,2025-12-05,48.98,49.23,48.5,48.89,28000,1365250.0,14,0.29
02001L,2025-12-08,49.26,49.26,48.91,49.1,26000,1276350.0,20,0.21
02001L,2025-12-09,49.51,49.6,49.32,49.39,15000,741440.0,10,0.29
02001L,2025-12-10,49.35,49.7,49.35,49.48,17000,841410.0,11,0.09
02001L,2025-12-11,49.74,49.74,47.42,47.42,83000,3980850.0,39,-2.06
02001L,2025-12-12,48.0,48.0,47.0,47.53,53000,2504760.0,24,0.11
02001L,2025-12-15,43.0,46.1,43.0,45.55,54000,2450020.0,40,-1.98
02001L,2025-12-16,43.33,44.98,43.33,43.95,66000,2904960.0,46,-1.6
02001L,2025-12-17,44.07,44.07,43.2,43.28,35000,1524400.0,19,-0.67
02001L,2025-12-18,42.8,43.06,42.49,42.6,15000,639920.0,14,-0.68
02001L,2025-12-19,43.8,44.34,43.67,44.34,45000,1976780.0,24,1.74
02001L,2025-12-22,44.81,47.0,44.81,46.8,61000,2809720.0,26,2.46
02001L,2025-12-23,47.08,47.08,46.4,46.4,38000,1779470.0,17,-0.4
02001L,2025-12-24,47.44,47.44,46.76,46.76,16000,754780.0,14,0.36
02001L,2025-12-26,48.0,48.0,47.0,47.25,40000,1891790.0,17,0.49
02001L,2025-12-29,48.29,49.31,48.29,49.0,87000,4257770.0,24,1.75
02001L,2025-12-30,48.29,48.73,47.83,48.64,20000,965190.0,16,-0.36
02001L,2025-12-31,48.71,50.05,48.64,49.79,74000,3651550.0,28,1.15
02001L,2026-01-02,50.3,52.5,50.3,52.4,114000,5951900.0,26,2.61
02001L,2026-01-05,53.5,54.35,53.5,54.15,112000,6052950.0,42,1.75
02001L,2026-01-06,53.55,56.0,53.55,56.0,52000,2846500.0,29,1.85
02001L,2026-01-07,55.2,57.2,55.2,56.3,33000,1856700.0,15,0.3
02001L,2026-01-08,55.2,55.35,53.25,53.25,89000,4815300.0,41,-3.05
02001L,2026-01-09,52.55,54.0,51.65,53.7,14000,736300.0,12,0.45
02001L,2026-01-12,55.0,56.0,55.0,55.5,23000,1281850.0,14,1.8
02001L,2026-01-13,56.15,56.3,55.0,55.4,53000,2944900.0,25,-0.1
02001L,2026-01-14,56.5,58.0,56.4,57.85,47000,2687950.0,31,2.45
02001L,2026-01-15,57.1,57.55,56.05,56.5,41000,2323500.0,25,-1.35
02001L,2026-01-16,58.0,60.0,58.0,59.95,110000,6479150.0,48,3.45
02001L,2026-01-19,61.0,61.0,59.5,59.75,42000,2510200.0,18,-0.2
02001L,2026-01-20,58.6,58.95,57.75,58.95,32000,1871500.0,22,-0.8
02001L,2026-01-21,57.0,59.6,57.0,57.0,52000,3034350.0,31,-1.95
02001L,2026-01-22,60.85,62.5,60.85,62.3,91000,5649100.0,41,5.3
02001L,2026-01-23,65.3,65.35,62.25,62.5,62000,3927300.0,36,0.2
02001L,2026-01-26,63.0,63.0,61.45,61.65,25000,1549350.0,19,-0.85
02001L,2026-01-27,62.3,63.05,62.1,62.85,20000,1251800.0,14,1.2
02001L,2026-01-28,63.8,64.35,62.8,63.5,76000,4817650.0,47,0.65
02001L,2026-01-29,64.1,64.1,61.7,61.9,61000,3818500.0,33,-1.6
02001L,2026-01-30,60.4,60.45,59.1,59.8,35000,2095300.0,22,-2.1
02001L,2026-02-02,59.2,59.2,55.35,56.35,167000,9448600.0,45,-3.45
02001L,2026-02-03,58.6,58.7,57.7,57.75,14000,816550.0,9,1.4
02001L,2026-02-04,58.85,59.3,58.85,59.3,31000,1828850.0,7,1.55
02001L,2026-02-05,57.25,57.45,54.95,55.15,38000,2124950.0,31,-4.15
02001L,2026-02-06,54.6,56.8,54.2,56.8,21000,1167550.0,15,1.65
02001L,2026-02-09,58.6,60.15,58.45,59.85,23000,1369600.0,18,3.05
02001L,2026-02-10,60.6,62.0,60.6,61.9,31000,1912400.0,16,2.05
02001L,2026-02-11,61.9,64.55,61.9,64.45,57000,3624750.0,21,2.55
02001L,2026-02-23,67.95,69.2,66.7,66.7,32000,2178700.0,14,2.25
02001L,2026-02-24,68.95,73.0,68.9,73.0,36000,2562550.0,22,6.3
02001L,2026-02-25,75.0,77.65,75.0,76.05,27000,2059100.0,23,3.05
02001L,2026-02-26,75.45,76.05,74.05,75.15,26000,1957050.0,19,-0.9
02001L,2026-03-02,65.85,73.75,65.85,73.3,36000,2608150.0,27,-1.85
02001L,2026-03-03,72.65,73.8,67.75,68.05,34000,2385400.0,30,-5.25
02001L,2026-03-04,64.25,64.25,59.95,60.0,104000,6350000.0,74,-8.05
02001L,2026-03-05,68.95,68.95,64.25,64.95,49000,3198800.0,25,4.95
02001L,2026-03-06,63.8,63.9,63.5,63.5,14000,891200.0,13,-1.45
02001L,2026-03-09,56.25,56.3,54.75,56.3,62000,3446600.0,44,-7.2
02001L,2026-03-10,62.0,62.15,59.65,60.45,105000,6404700.0,32,4.15
02001L,2026-03-11,63.0,66.35,63.0,66.05,48000,3126950.0,20,5.6
