stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
2474,2026-02-02,-700873,-93846,-4558,-799277
2474,2026-02-03,-365644,-45558,3582,-407620
2474,2026-02-04,-277693,-61800,-29974,-369467
2474,2026-02-05,-198723,-26896,7617,-218002
2474,2026-02-06,-671021,208,-45107,-715920
2474,2026-02-09,-225119,-232000,-83353,-540472
2474,2026-02-10,-295328,-14934,-81550,-391812
2474,2026-02-11,51086,-209000,-202064,-359978
2474,2026-02-23,199700,-358174,-99852,-258326
2474,2026-02-24,-353164,-217205,-30953,-601322
2474,2026-02-25,296125,-767892,-88355,-560122
2474,2026-02-26,101997,-812826,-96533,-807362
2474,2026-03-02,-918929,-195069,40937,-1073061
2474,2026-03-03,-1404325,-62647,332333,-1134639
2474,2026-03-04,-755591,-95242,-13177,-864010
2474,2026-03-05,-788645,-1652,117742,-672555
2474,2026-03-06,-140610,-20055,85379,-75286
2474,2026-03-09,-663547,52000,93449,-518098
2474,2026-03-10,-584198,1865,16416,-565917
2474,2026-03-11,-1215147,-61472,-50381,-1327000
2474,2026-03-12,-1794012,-349141,-89221,-2232374
2474,2026-03-13,-2058538,397563,22526,-1638449
2474,2026-03-16,-263689,-30733,-936,-295358
2474,2026-03-17,-654217,-42436,-80415,-777068
2474,2026-03-18,-816870,-388000,-25610,-1230480
2474,2026-03-19,-657315,-166000,25164,-798151
2474,2026-03-20,-1274586,-136450,13351,-1397685
2474,2026-03-23,-1211162,13000,126009,-1072153
2474,2026-03-24,420266,-63000,41748,399014
2474,2026-03-25,-1379157,-15658,10063,-1384752
2474,2026-03-26,14235,-14291,4506,4450
2474,2026-03-27,343080,-4460,5364,343984
2474,2026-03-30,-1322578,3202,115064,-1204312
2474,2026-03-31,-880736,-7397,275478,-612655
2474,2026-04-01,-815657,166800,21220,-627637
2474,2026-04-02,-300285,-1000,169003,-132282
2474,2026-04-07,-40108,-16000,41700,-14408
2474,2026-04-08,-400456,-28702,10222,-418936
2474,2026-04-09,-367052,-217822,-63939,-648813
2474,2026-04-10,-132004,-341355,-32513,-505872
2474,2026-04-13,-377324,-71799,12151,-436972
2474,2026-04-14,611419,-215021,26672,423070
2474,2026-04-15,584164,-275085,-335207,-26128
2474,2026-04-16,-128409,-420467,-7989,-556865
2474,2026-04-17,948437,-1040899,-42430,-134892
2474,2026-04-20,181978,-1630919,-212266,-1661207
2474,2026-04-21,1848284,-2941208,-119786,-1212710
2474,2026-04-22,1369924,-2399125,118827,-910374
2474,2026-04-23,3256997,-1967063,241988,1531922
2474,2026-04-24,995182,-1333066,16619,-321265
2474,2026-04-27,1055326,-694149,-113416,247761
2474,2026-04-28,-243013,-501823,-56617,-801453
2474,2026-04-29,-1110282,-609272,106967,-1612587
2474,2026-04-30,-949386,-127088,-35101,-1111575
2884,2026-02-02,-2814055,871782,84866,-1857407
2884,2026-02-03,4357253,214602,35862,4607717
2884,2026-02-04,10129013,-394000,-146010,9589003
2884,2026-02-05,10720832,685910,-275695,11131047
2884,2026-02-06,-1920784,810000,81009,-1029775
