stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
1216,2026-02-02,-841925,42000,-81972,-881897
1216,2026-02-03,413414,-54539,52805,411680
1216,2026-02-04,-1903643,-577000,6892,-2473751
1216,2026-02-05,2633705,-246539,-180675,2206491
1216,2026-02-06,1832492,191000,168464,2191956
1216,2026-02-09,-2057224,-618000,-432159,-3107383
1216,2026-02-10,1267174,-164078,-616075,487021
1216,2026-02-11,2896167,-789000,-1331873,775294
1216,2026-02-23,10489770,-1948081,-574499,7967190
1216,2026-02-24,3936234,-3034079,-2855748,-1953593
1216,2026-02-25,5822851,-3112621,-612686,2097544
1216,2026-02-26,-10404749,-917583,-1046032,-12368364
1216,2026-03-02,4842803,-270621,24430,4596612
1216,2026-03-03,3557350,-321539,110716,3346527
1216,2026-03-04,-3867108,63846,410614,-3392648
1216,2026-03-05,-5339081,81462,282259,-4975360
1216,2026-03-06,-3262767,2682000,292797,-287970
1216,2026-03-09,-2602984,342555,1430801,-829628
1216,2026-03-10,-5574968,105092,419481,-5050395
1216,2026-03-11,-1339115,-85000,-263688,-1687803
1216,2026-03-12,37161,-1615537,-258353,-1836729
1216,2026-03-13,-3079097,-75072,-40617,-3194786
1216,2026-03-16,-2094058,-961966,4500,-3051524
1216,2026-03-17,-2738318,-1385999,265298,-3859019
1216,2026-03-18,-2305711,-1560393,83978,-3782126
1216,2026-03-19,-5716652,-1187000,313096,-6590556
1216,2026-03-20,-4937165,-815818,186138,-5566845
1216,2026-03-23,-6694235,323502,1070972,-5299761
1216,2026-03-24,-1134376,56000,371997,-706379
1216,2026-03-25,2306187,-2064000,-60782,181405
1216,2026-03-26,2080470,-27000,74123,2127593
1216,2026-03-27,3796346,-76000,505265,4225611
1216,2026-03-30,-3027864,53108,1083170,-1891586
1216,2026-03-31,-3434536,433000,2419436,-582100
1216,2026-04-01,-1392277,31108,282815,-1078354
1216,2026-04-02,2012470,-59000,1264558,3218028
1216,2026-04-07,-594708,150578,543480,99350
1216,2026-04-08,538665,-73785,183047,647927
1216,2026-04-09,-1019009,-70000,-134391,-1223400
1216,2026-04-10,-2095153,-1928000,-32528,-4055681
1216,2026-04-13,-1416529,-1103292,-119331,-2639152
1216,2026-04-14,2158439,-1797570,-238409,122460
1216,2026-04-15,3234467,-1267770,-439424,1527273
1216,2026-04-16,3213019,-2106500,-322212,784307
1216,2026-04-17,5103292,-2958215,33752,2178829
1216,2026-04-20,3837785,-6110441,76706,-2195950
1216,2026-04-21,4398492,-7031110,229343,-2403275
1216,2026-04-22,5330557,-5129540,102144,303161
1216,2026-04-23,-135949,-4119034,319703,-3935280
1216,2026-04-24,1313047,-3645985,-160922,-2493860
1216,2026-04-27,-1231151,-1545601,-697980,-3474732
1216,2026-04-28,-1008738,-680714,-747109,-2436561
1216,2026-04-29,-4676532,-2654000,25186,-7305346
1216,2026-04-30,-5204944,-1693019,-635492,-7533455
1301,2026-02-02,-13630760,-10000,-1187207,-14827967
1301,2026-02-03,-2453947,-6000,-74014,-2533961
1301,2026-02-04,2085255,0,1004261,3089516
1301,2026-02-05,3323276,-5000,-642577,2675699
1301,2026-02-06,-2855166,0,-1204488,-4059654
1301,2026-02-09,1473442,0,993987,2467429
1301,2026-02-10,-9293970,0,-55058,-9349028
1301,2026-02-11,9739529,-11000,388477,10117006
1301,2026-02-23,1006714,-14000,1004407,1997121
1301,2026-02-24,11566080,0,1215989,12782069
1301,2026-02-25,35897567,0,2473370,38370937
1301,2026-02-26,-3509574,-91035,-677045,-4277654
1301,2026-03-02,-8043028,2700000,-631564,-5974592
1301,2026-03-03,579381,0,-206061,373320
1301,2026-03-04,-5168244,0,-1128433,-6296677
1301,2026-03-05,-6079568,0,-563687,-6643255
1301,2026-03-06,3528912,4000,1198064,4730976
1301,2026-03-09,-32821595,11930,-1996107,-34805772
1301,2026-03-10,-3646719,-2694069,382629,-5958159
1301,2026-03-11,230134,5000,-23586,211548
1301,2026-03-12,-10171046,-90000,-391690,-10652736
1301,2026-03-13,-3320706,-32000,55781,-3296925
1301,2026-03-16,4898781,1001026,303946,6203753
1301,2026-03-17,-570779,-222000,166661,-626118
1301,2026-03-18,5198807,10931,688248,5897986
1301,2026-03-19,-3067548,100000,1427856,-1539692
1301,2026-03-20,-9461027,-169479,-685269,-10315775
1301,2026-03-23,-18932598,0,-788012,-19720610
1301,2026-03-24,-896143,3000,-95360,-988503
1301,2026-03-25,2642357,10000,332047,2984404
1301,2026-03-26,16272930,0,604678,16877608
1301,2026-03-27,-5389706,1106000,-187023,-4470729
1301,2026-03-30,-3258402,1211944,541643,-1504815
1301,2026-03-31,-11348988,1156000,-105286,-10298274
1301,2026-04-01,8452785,688944,596667,9738396
1301,2026-04-02,138228,0,-254682,-116454
1301,2026-04-07,12787482,3774,767363,13558619
1301,2026-04-08,2339888,-139113,-75387,2125388
1301,2026-04-09,3325024,0,-172534,3152490
1301,2026-04-10,-2262518,-1000,80720,-2182798
1301,2026-04-13,57996624,-644113,1286544,58639055
1301,2026-04-14,62667781,-2338,644448,63309891
1301,2026-04-15,6379305,1197886,-766209,6810982
1301,2026-04-16,19969897,1252,-92740,19878409
1301,2026-04-17,662562,450972,-556260,557274
1301,2026-04-20,-1543134,-848243,-182476,-2573853
1301,2026-04-21,-1013865,1310000,-32229,263906
1301,2026-04-22,2090505,-41881,43927,2092551
1301,2026-04-23,2478592,-15881,-868305,1594406
1301,2026-04-24,-1306981,-2384531,-84896,-3776408
1301,2026-04-27,3122390,-1796338,18490,1344542
1301,2026-04-28,6255199,-3845286,-27197,2382716
1301,2026-04-29,5231912,-2857000,161796,2536708
1301,2026-04-30,5449320,0,-91402,5357918
2615,2026-02-02,893796,103652,-77094,920354
2615,2026-02-03,491759,-53905,-34480,403374
2615,2026-02-04,1513968,-62000,106813,1558781
2615,2026-02-05,687759,85221,17350,790330
2615,2026-02-06,-508664,78000,-50548,-481212
2615,2026-02-09,448494,-66000,53022,435516
2615,2026-02-10,1051025,-190779,164805,1025051
2615,2026-02-11,1958282,-136000,159374,1981656
2615,2026-02-23,2913597,-8557,156042,3061082
2615,2026-02-24,-368996,-450127,229984,-589139
2615,2026-02-25,3071789,-314557,557589,3314821
2615,2026-02-26,1503607,-1249849,291631,545389
2615,2026-03-02,-4932854,-280359,396554,-4816659
2615,2026-03-03,9791339,-217000,2275564,11849903
2615,2026-03-04,-7104848,-25000,-2086626,-9216474
2615,2026-03-05,-6944436,-101000,-637501,-7682937
2615,2026-03-06,-1037084,-7000,1031,-1043053
2615,2026-03-09,-1027078,4312,585397,-437369
2615,2026-03-10,-1895063,-16688,-467959,-2379710
2615,2026-03-11,3028946,-36760,144861,3137047
2615,2026-03-12,-923217,-17760,-286337,-1227314
2615,2026-03-13,-2646847,-17000,-110315,-2774162
2615,2026-03-16,1958559,-71994,800493,2687058
2615,2026-03-17,572375,-74000,171662,670037
2615,2026-03-18,351246,-18447,1063508,1396307
2615,2026-03-19,-1519443,-13000,75744,-1456699
2615,2026-03-20,34462207,-32738579,-65769,1657859
2615,2026-03-23,-4473444,-23634,-581296,-5078374
2615,2026-03-24,-516827,0,-121421,-638248
2615,2026-03-25,1064584,-16000,127638,1176222
2615,2026-03-26,-266626,-4000,-94435,-365061
2615,2026-03-27,616708,-61000,-44190,511518
2615,2026-03-30,4449138,-2000,141117,4588255
2615,2026-03-31,558187,-25000,-533717,-530
2615,2026-04-01,5919451,1000,538673,6459124
2615,2026-04-02,-447978,25618,-391361,-813721
2615,2026-04-07,3936621,-15333,203844,4125132
2615,2026-04-08,-621210,6540,197331,-417339
2615,2026-04-09,1719900,-9142,256674,1967432
2615,2026-04-10,-1417835,-8819,133,-1426521
2615,2026-04-13,-583135,18356,257680,-307099
2615,2026-04-14,146073,-119198,-154178,-127303
2615,2026-04-15,4501568,-24851,-214956,4261761
2615,2026-04-16,1163718,-327404,-361362,474952
2615,2026-04-17,-741808,-187553,-66774,-996135
2615,2026-04-20,-1134396,-490289,-58572,-1683257
2615,2026-04-21,1185241,-1328829,-11120,-154708
2615,2026-04-22,1745178,-834757,39534,949955
2615,2026-04-23,828480,-285991,-334755,207734
2615,2026-04-24,1367601,-20416,-105648,1241537
2615,2026-04-27,2735755,-20955,24080,2738880
2615,2026-04-28,836150,-82658,-25398,728094
2615,2026-04-29,513241,-2000,-74168,437073
2615,2026-04-30,-962148,-6737,10893,-957992
2882,2026-02-02,8430507,289857,-94507,8625857
2882,2026-02-03,6794024,14473,88268,6896765
2882,2026-02-04,4620666,201000,46223,4867889
2882,2026-02-05,2437504,-133277,-178014,2126213
2882,2026-02-06,-1951958,448000,-243779,-1747737
2882,2026-02-09,12910855,-828000,-53694,12029161
2882,2026-02-10,7912240,-736070,217945,7394115
2882,2026-02-11,17379783,-1080000,70417,16370200
