pick_date,sid,strategy,top_features,generated_at
2026-05-15,00754B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.43432442740701566, ""contribution"": -0.055461821429419, ""contribution_pct"": 30.9, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.0876383532456359, ""contribution"": -0.04033382045849347, ""contribution_pct"": 22.5, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.18646789846371803, ""contribution"": -0.038160649709247436, ""contribution_pct"": 21.3, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00755B,bias_convergence,"[{""feature"": ""vol_ratio"", ""value"": 1.063268892794376, ""contribution"": 0.048164808731903846, ""contribution_pct"": 26.8, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 0.4254668732280369, ""contribution"": -0.033563859514086344, ""contribution_pct"": 18.7, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.0975216474098417, ""contribution"": -0.02150890148418558, ""contribution_pct"": 12.0, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00756B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.42780716576770056, ""contribution"": -0.04007347994148252, ""contribution_pct"": 24.5, ""direction"": ""-""}, {""feature"": ""kd_k"", ""value"": 16.281908680119738, ""contribution"": 0.03330813607461292, ""contribution_pct"": 20.4, ""direction"": ""+""}, {""feature"": ""macd_dif"", ""value"": -0.053889319237999445, ""contribution"": -0.023356864126448034, ""contribution_pct"": 14.3, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00760B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.40967452712773916, ""contribution"": -0.05642177340451565, ""contribution_pct"": 31.8, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.0, ""contribution"": -0.032903642931169014, ""contribution_pct"": 18.5, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.023366433964199018, ""contribution"": -0.02750404168569016, ""contribution_pct"": 15.5, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00761B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.46258121521564544, ""contribution"": -0.048365757259054544, ""contribution_pct"": 23.1, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.12050608416970476, ""contribution"": -0.03627625690395723, ""contribution_pct"": 17.3, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.06072022848052877, ""contribution"": -0.030788661136966756, ""contribution_pct"": 14.7, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00772B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.43423024007970296, ""contribution"": -0.05692890023676308, ""contribution_pct"": 26.2, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.1355022377080246, ""contribution"": -0.034149438394282604, ""contribution_pct"": 15.7, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.05460854030383966, ""contribution"": -0.03202220078779363, ""contribution_pct"": 14.7, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00781B,bias_convergence,"[{""feature"": ""macd_dif"", ""value"": -0.15021717559047332, ""contribution"": -0.040521601200735356, ""contribution_pct"": 21.0, ""direction"": ""-""}, {""feature"": ""atr_normalized"", ""value"": 0.37863856013859787, ""contribution"": -0.039588349299654546, ""contribution_pct"": 20.5, ""direction"": ""-""}, {""feature"": ""kd_k"", ""value"": 8.891928625472097, ""contribution"": -0.027718199006472283, ""contribution_pct"": 14.4, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00787B,bias_convergence,"[{""feature"": ""kd_k"", ""value"": 7.750491477277086, ""contribution"": -0.05195402771407971, ""contribution_pct"": 29.7, ""direction"": ""-""}, {""feature"": ""atr_normalized"", ""value"": 5.186989102227548, ""contribution"": 0.038401479851278425, ""contribution_pct"": 21.9, ""direction"": ""+""}, {""feature"": ""bb_position"", ""value"": 0.05501788663254045, ""contribution"": -0.02932188180983754, ""contribution_pct"": 16.8, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00789B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.41444403055712775, ""contribution"": -0.0503423127451385, ""contribution_pct"": 24.7, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.08085917262784514, ""contribution"": -0.03677853166908433, ""contribution_pct"": 18.0, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.32263090176296316, ""contribution"": -0.03260774957673126, ""contribution_pct"": 16.0, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00791B,macd_golden,"[{""feature"": ""atr_normalized"", ""value"": 0.2610249453269049, ""contribution"": -0.07682772489231976, ""contribution_pct"": 25.0, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": 0.0030182126924150343, ""contribution"": -0.048274258319799056, ""contribution_pct"": 15.7, ""direction"": ""-""}, {""feature"": ""kd_k"", ""value"": 25.487271703693796, ""contribution"": -0.047964746075422254, ""contribution_pct"": 15.6, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
