stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
1101,2026-02-02,-8021904,-2000,-1788431,-9812335
1101,2026-02-03,-13294020,-5000,-873014,-14172034
1101,2026-02-04,-35435,-24000,504448,445013
1101,2026-02-05,-6217111,-28000,2270685,-3974426
1101,2026-02-06,-2049243,0,-1699693,-3748936
1101,2026-02-09,-3080330,0,-77952,-3158282
1101,2026-02-10,-605078,-6000,63957,-547121
1101,2026-02-11,6544916,-11000,270057,6803973
1101,2026-02-23,4472487,-10000,791047,5253534
1101,2026-02-24,8870900,6000,411873,9288773
1101,2026-02-25,7759908,-19000,-111736,7629172
1101,2026-02-26,-6935676,-3058,-378321,-7317055
1101,2026-03-02,6934888,-3000,991416,7923304
1101,2026-03-03,-3965037,184000,-1779687,-5560724
1101,2026-03-04,-7051880,160000,-2523475,-9415355
1101,2026-03-05,-20122043,31000,307399,-19783644
1101,2026-03-06,5221533,12000,704870,5938403
1101,2026-03-09,-13185427,103000,-1527134,-14609561
1101,2026-03-10,-4289777,48000,36716,-4205061
1101,2026-03-11,6949755,27000,324711,7301466
1101,2026-03-12,539438,14000,-130274,423164
1101,2026-03-13,-9610135,73000,-573041,-10110176
1101,2026-03-16,-2434967,82044,-229514,-2582437
1101,2026-03-17,-3793020,-199000,4040,-3987980
1101,2026-03-18,2577726,92000,178604,2848330
1101,2026-03-19,-8245157,-2235000,-509846,-10990003
1101,2026-03-20,-5505941,1646847,-581547,-4440641
1101,2026-03-23,-4033936,0,-1030206,-5064142
1101,2026-03-24,-636899,0,-217283,-854182
1101,2026-03-25,4800457,-33000,636081,5403538
1101,2026-03-26,5852028,-30000,634692,6456720
1101,2026-03-27,-3603492,0,-154577,-3758069
1101,2026-03-30,-3003510,0,-437634,-3441144
1101,2026-03-31,-11788578,0,-50538,-11839116
1101,2026-04-01,-4268227,3000,666665,-3598562
1101,2026-04-02,-2901497,-6000,135038,-2772459
1101,2026-04-07,-12518122,0,77941,-12440181
1101,2026-04-08,-6467758,-4000,3070416,-3401342
1101,2026-04-09,-8090797,-66000,-2887826,-11044623
1101,2026-04-10,-818420,-102000,829736,-90684
1101,2026-04-13,-7754750,-53000,-596088,-8403838
1101,2026-04-14,-105379,-32000,224680,87301
1101,2026-04-15,-12766348,-63000,36262,-12793086
1101,2026-04-16,5155902,-56000,622557,5722459
1101,2026-04-17,1665998,-109000,-21522,1535476
1101,2026-04-20,-1240388,0,-66137,-1306525
1101,2026-04-21,-152960,-14000,-14649,-181609
1101,2026-04-22,-3673350,-27000,-220063,-3920413
1101,2026-04-23,-13007000,0,-274323,-13281323
1101,2026-04-24,-12473044,-47000,-100706,-12620750
1101,2026-04-27,-4953724,-49000,-163362,-5166086
1101,2026-04-28,-9059000,-9000,343117,-8724883
1101,2026-04-29,-5897784,-46000,-120188,-6063972
1101,2026-04-30,-3288689,-18000,27796,-3278893
2609,2026-02-02,494084,-31992,-70276,391816
2609,2026-02-03,1410764,-74224,-22555,1313985
2609,2026-02-04,2431390,-33000,103019,2501409
2609,2026-02-05,1798067,-30216,42277,1810128
