strategy,period_end,lookback_days,target_pct,stop_pct,hold_days,n_fires,n_wins,win_rate,avg_return,computed_at
eps_acceleration,2026-05-08,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-11T07:07:42+00:00
ma_squeeze_breakout,2026-05-04,126,0.05,0.03,5,1,1,1.0,0.0076687116564417,2026-05-04T16:27:04+00:00
volume_kd,2026-05-04,126,0.05,0.03,5,3,2,0.6666666666666666,0.0073789173789173,2026-05-04T16:27:04+00:00
ma_alignment,2026-05-04,126,0.05,0.03,5,48,28,0.5833333333333334,0.0115193545421477,2026-05-04T16:27:04+00:00
inst_consensus,2026-05-04,126,0.05,0.03,5,31,16,0.5161290322580645,0.0058627638713095,2026-05-04T16:27:04+00:00
gap_up,2026-05-04,126,0.05,0.03,5,2243,1133,0.5051270619705751,0.0096022800819783,2026-05-04T16:27:04+00:00
macd_golden,2026-05-04,126,0.05,0.03,5,696,351,0.5043103448275862,0.0080125748126975,2026-05-04T16:27:04+00:00
inst_silent_accum,2026-05-04,126,0.05,0.03,5,49,22,0.4489795918367347,0.0002016138239115,2026-05-04T16:27:04+00:00
volume_breakout,2026-05-04,126,0.05,0.03,5,1785,783,0.4386554621848739,0.0046298379201633,2026-05-04T16:27:04+00:00
bias_convergence,2026-05-04,126,0.05,0.03,5,7548,3086,0.4088500264970853,0.0002681453177084,2026-05-04T16:27:04+00:00
bb_lower_rebound,2026-05-04,126,0.05,0.03,5,902,352,0.3902439024390244,0.0001852706456838,2026-05-04T16:27:04+00:00
rsi_recovery,2026-05-04,126,0.05,0.03,5,184,57,0.3097826086956521,-0.0059436888644103,2026-05-04T16:27:04+00:00
