stock_id,target_mean,target_median,target_high,target_low,num_analysts,source,fetched_at
6505,57.2,65.0,70.0,40.0,5,yfinance,2026-05-17T15:42:54+00:00
6510,4500.7144,4750.0,5000.0,3000.0,7,yfinance,2026-05-17T15:42:58+00:00
6515,8956.111,11800.0,15000.0,1350.0,9,yfinance,2026-05-19T04:20:12+00:00
6526,700.5,695.0,810.0,620.0,6,yfinance,2026-05-17T15:43:05+00:00
6531,1075.0,1075.0,1150.0,1000.0,2,yfinance,2026-05-19T04:20:14+00:00
6533,338.33334,375.0,460.0,180.0,3,yfinance,2026-05-17T15:43:09+00:00
6535,250.0,250.0,250.0,250.0,1,yfinance,2026-05-19T04:20:16+00:00
6546,150.0,150.0,150.0,150.0,1,yfinance,2026-05-17T15:43:15+00:00
6547,102.0,102.0,102.0,102.0,1,yfinance,2026-05-19T04:20:18+00:00
6548,62.5,62.5,65.0,60.0,2,yfinance,2026-05-17T15:43:17+00:00
6561,520.6667,522.0,550.0,490.0,3,yfinance,2026-05-19T17:27:17+00:00
6576,153.0,153.0,153.0,153.0,1,yfinance,2026-05-19T04:20:21+00:00
6584,740.5,800.0,1022.0,340.0,4,yfinance,2026-05-17T15:43:36+00:00
6592,70.0,70.0,70.0,70.0,1,yfinance,2026-05-19T04:20:25+00:00
6605,155.0,155.0,155.0,155.0,1,yfinance,2026-05-17T15:43:50+00:00
6609,50.0,50.0,50.0,50.0,1,yfinance,2026-05-19T04:20:28+00:00
6643,541.6667,440.0,750.0,435.0,3,yfinance,2026-05-17T15:44:08+00:00
6651,106.11854,106.11854,106.11854,106.11854,1,yfinance,2026-05-17T15:44:11+00:00
6664,520.0,520.0,520.0,520.0,1,yfinance,2026-05-17T15:44:18+00:00
6668,40.0,40.0,40.0,40.0,1,yfinance,2026-05-19T04:20:35+00:00
6669,6681.0,6500.0,8500.0,5000.0,17,yfinance,2026-05-17T15:44:22+00:00
6670,337.5,337.5,340.0,335.0,2,yfinance,2026-05-17T15:44:22+00:00
6679,400.0,400.0,400.0,400.0,1,yfinance,2026-05-19T04:20:35+00:00
6683,450.0,450.0,450.0,450.0,1,yfinance,2026-05-19T04:20:36+00:00
6689,73.0,73.0,73.0,73.0,1,yfinance,2026-05-17T15:44:30+00:00
6690,210.0,210.0,210.0,210.0,1,yfinance,2026-05-17T15:44:31+00:00
6691,700.0,700.0,700.0,700.0,1,yfinance,2026-05-17T15:44:32+00:00
6712,200.0,200.0,200.0,200.0,1,yfinance,2026-05-19T04:20:40+00:00
6719,212.0,215.0,250.0,170.0,5,yfinance,2026-05-19T04:20:42+00:00
6725,455.0,455.0,455.0,455.0,1,yfinance,2026-05-17T15:44:47+00:00
6727,480.0,480.0,480.0,480.0,1,yfinance,2026-05-17T15:44:48+00:00
6733,49.0,49.0,49.0,49.0,1,yfinance,2026-05-19T04:20:44+00:00
6741,91.22156,83.59276,125.53934,72.16141,4,yfinance,2026-05-19T04:20:45+00:00
6743,40.0,40.0,40.0,40.0,1,yfinance,2026-05-17T15:44:57+00:00
6753,165.0,165.0,165.0,165.0,1,yfinance,2026-05-17T15:45:00+00:00
6757,66.33333,67.0,67.0,65.0,3,yfinance,2026-05-17T15:45:03+00:00
6763,86.0,86.0,86.0,86.0,1,yfinance,2026-05-17T15:45:06+00:00
6768,119.75,130.0,135.0,84.0,4,yfinance,2026-05-17T15:45:07+00:00
6770,67.0,60.0,96.0,50.0,5,yfinance,2026-05-17T15:45:08+00:00
6781,1522.5,1550.0,1660.0,1330.0,4,yfinance,2026-05-19T04:20:49+00:00
6782,249.66667,256.5,275.0,220.0,6,yfinance,2026-05-17T15:45:11+00:00
6789,380.0,380.0,460.0,300.0,2,yfinance,2026-05-17T15:45:14+00:00
6799,100.0,100.0,100.0,100.0,1,yfinance,2026-05-19T04:20:52+00:00
