stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
009819,2026-04-23,10.45,12.99,10.45,12.54,116831418,1386244162.0,28607,2.55
009819,2026-04-24,10.3,11.33,10.16,10.89,170265430,1847009273.0,39981,-1.65
009819,2026-04-27,10.16,10.17,10.05,10.05,219137455,2214790156.0,46538,-0.84
009819,2026-04-28,10.05,10.06,10.01,10.01,59352262,595256349.0,15060,-0.04
009819,2026-04-29,9.9,9.91,9.84,9.89,82476198,813282752.0,23765,-0.12
009819,2026-04-30,9.97,10.01,9.94,9.94,55402743,553001879.0,14667,0.05
020023,2025-11-04,7.4,7.4,7.25,7.26,127000,932860.0,8,-0.17
020023,2025-11-05,6.93,7.1,6.93,7.1,102000,709650.0,7,-0.16
020023,2025-11-06,7.29,7.39,7.29,7.39,37000,271560.0,15,0.29
020023,2025-11-07,7.32,7.38,7.25,7.32,13000,94910.0,8,-0.07
020023,2025-11-10,7.25,7.29,7.23,7.29,21000,152470.0,6,-0.03
020023,2025-11-11,7.24,7.28,7.22,7.28,17000,123230.0,9,-0.01
020023,2025-11-12,7.21,7.28,7.19,7.2,23000,166020.0,9,-0.08
020023,2025-11-13,7.3,7.43,7.3,7.36,57000,419140.0,21,0.16
020023,2025-11-14,7.27,7.27,7.23,7.24,18000,130560.0,6,-0.12
020023,2025-11-17,7.42,7.45,7.34,7.34,17000,126020.0,6,0.1
020023,2025-11-18,7.27,7.27,7.15,7.15,13000,93730.0,4,-0.19
020023,2025-11-19,7.02,7.02,6.92,6.92,17000,118520.0,9,-0.23
020023,2025-11-20,7.03,7.12,7.0,7.12,10000,70270.0,6,0.2
020023,2025-11-21,6.78,6.78,6.75,6.75,8000,54120.0,4,-0.37
020023,2025-11-24,6.75,6.98,6.75,6.98,364000,2470080.0,16,0.23
020023,2025-11-25,7.17,7.25,7.17,7.21,5000,36030.0,5,0.23
020023,2025-11-26,7.24,7.24,7.11,7.11,30000,214440.0,12,-0.1
020023,2025-11-27,7.11,7.25,7.11,7.23,25000,179960.0,11,0.12
020023,2025-11-28,7.28,7.55,7.28,7.53,112000,839960.0,21,0.3
020023,2025-12-01,7.6,7.6,7.6,7.6,4000,30400.0,2,0.07
020023,2025-12-02,7.35,7.41,7.33,7.35,22000,161890.0,7,-0.25
020023,2025-12-03,7.35,7.42,7.27,7.27,12000,88470.0,8,-0.08
020023,2025-12-04,7.25,7.25,7.2,7.2,26000,187430.0,3,-0.07
