id,sid,name,entry_date,entry_price,matched_strategies,ml_prob,target_price,stop_price,current_stop,trailing_level,hold_days,expected_exit_date,actual_exit_date,actual_exit_price,status,return_pct,notes,created_at,updated_at
31,4104,佳醫,2026-05-07,70.6,"[""bb_lower_rebound""]",0.5767060210799303,74.13,68.482,68.482,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
32,4123,晟德,2026-05-07,38.1,"[""bb_lower_rebound""]",0.6738452317516477,40.005,36.957,36.957,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
33,4442,竣邦-KY,2026-05-07,55.8,"[""rsi_recovery""]",0.477333882386578,58.59,54.126,54.126,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
34,5450,南良,2026-05-07,12.8,"[""bb_lower_rebound""]",0.5779978039804147,13.44,12.416,12.416,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
35,6144,得利影,2026-05-07,14.6,"[""bb_lower_rebound""]",0.6087737650431678,15.33,14.162,14.162,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
36,6216,居易,2026-05-07,23.45,"[""bb_lower_rebound""]",0.6335804310816067,24.6225,22.7465,22.7465,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
37,6482,弘煜科,2026-05-07,30.05,"[""bb_lower_rebound""]",0.5360013040549757,31.5525,29.1485,29.1485,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
38,6508,惠光,2026-05-07,24.55,"[""bb_lower_rebound""]",0.5334312098829692,25.777500000000003,23.8135,23.8135,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
39,6550,北極星藥業-KY,2026-05-07,18.05,"[""bias_convergence""]",0.7549137072921454,18.9525,17.5085,17.5085,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
40,6624,萬年清,2026-05-07,49.95,"[""bb_lower_rebound""]",0.5620820803687644,52.447500000000005,48.4515,48.4515,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
41,6712,長聖,2026-05-07,138.5,"[""rsi_recovery""]",0.1721892792970077,145.425,134.345,134.345,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
42,6785,昱展新藥,2026-05-07,140.5,"[""bb_lower_rebound""]",0.6051335361508784,147.525,136.285,136.285,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
43,6887,寶綠特-KY,2026-05-07,39.95,"[""bias_convergence""]",0.7316265472237542,41.947500000000005,38.7515,38.7515,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
44,6929,佑全,2026-05-07,25.0,"[""bb_lower_rebound""]",0.6392442895876919,26.25,24.25,24.25,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
45,7723,築間,2026-05-07,28.7,"[""bb_lower_rebound""]",0.6942541369376078,30.135,27.839,27.839,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
46,8066,來思達,2026-05-07,17.1,"[""bb_lower_rebound""]",0.6156619714837621,17.955000000000002,16.587,16.587,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
47,8076,伍豐,2026-05-07,23.7,"[""macd_golden""]",0.6188239468883082,24.885,22.989,22.989,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
48,8279,生展,2026-05-07,96.7,"[""bb_lower_rebound""]",0.6516091258436542,101.535,93.799,93.799,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
49,8940,新天地,2026-05-07,18.4,"[""rsi_recovery""]",0.4696079477124491,19.32,17.848,17.848,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
50,9929,秋雨,2026-05-07,12.6,"[""gap_up""]",0.6408052096749216,13.23,12.222,12.222,0,5,,,,active,,,2026-05-08T03:55:07+00:00,
51,9931,欣高,2026-05-07,34.5,"[""bb_lower_rebound""]",0.53167478055659,36.225,33.465,33.465,0,5,,,,active,,,2026-05-08T03:55:08+00:00,
